Map Num: 7
ThreeD: 1
Num states: 118
Path cost: 138
Num A* iters: 80164
Plan Time: 4.71875 s

x y t mp_id mp_type z
205 205 5 -1 1 5
203 203 5 50 1 5
201 201 5 50 1 5
199 199 5 50 1 5
187 194 4 53 1 5
173 200 3 43 1 5
168 212 2 33 1 5
174 226 1 29 1 4
186 231 0 19 1 3
188 231 0 0 1 3
190 231 0 0 1 3
192 231 0 0 1 3
206 237 1 2 1 3
211 249 2 12 1 3
211 265 2 21 1 3
211 281 2 21 1 3
211 297 2 21 1 3
211 313 2 21 1 3
211 329 2 21 1 3
211 345 2 21 1 3
211 361 2 21 1 3
211 377 2 21 1 3
211 393 2 21 1 3
217 407 1 23 1 3
229 412 0 13 1 3
231 412 0 0 1 3
233 412 0 0 1 3
235 412 0 0 1 3
237 412 0 0 1 3
239 412 0 0 1 3
241 412 0 0 1 3
243 412 0 0 1 3
245 412 0 0 1 3
247 412 0 0 1 3
249 412 0 0 1 3
251 412 0 0 1 3
253 412 0 0 1 3
255 412 0 0 1 3
257 412 0 0 1 3
259 412 0 0 1 3
261 412 0 0 1 3
263 412 0 0 1 3
265 412 0 0 1 3
267 412 0 0 1 3
269 412 0 0 1 3
271 412 0 0 1 3
273 412 0 0 1 3
275 412 0 0 1 3
277 412 0 0 1 3
279 412 0 0 1 3
281 412 0 0 1 3
283 412 0 0 1 3
285 412 0 0 1 3
287 412 0 0 1 3
289 412 0 0 1 3
291 412 0 0 1 3
293 412 0 0 1 3
295 412 0 0 1 3
297 412 0 0 1 3
299 412 0 0 1 3
301 412 0 0 1 3
303 412 0 0 1 3
305 412 0 0 1 3
307 412 0 0 1 3
309 412 0 0 1 3
311 412 0 0 1 3
313 412 0 0 1 3
315 412 0 0 1 3
317 412 0 0 1 3
319 412 0 0 1 3
321 412 0 0 1 3
323 412 0 0 1 3
325 412 0 0 1 3
327 412 0 0 1 3
329 412 0 0 1 3
331 412 0 0 1 3
333 412 0 0 1 3
335 412 0 0 1 3
337 412 0 0 1 3
339 412 0 0 1 3
341 412 0 0 1 3
343 412 0 0 1 3
345 412 0 0 1 3
347 412 0 0 1 3
349 412 0 0 1 3
351 412 0 0 1 3
353 412 0 0 1 3
355 412 0 0 1 3
357 412 0 0 1 3
359 412 0 0 1 3
361 412 0 0 1 3
363 412 0 0 1 3
365 412 0 0 1 3
367 412 0 0 1 3
369 412 0 0 1 3
371 412 0 0 1 3
373 412 0 0 1 3
375 412 0 0 1 3
377 412 0 0 1 3
379 412 0 0 1 3
381 412 0 0 1 3
383 412 0 0 1 3
391 413 1 2 0 3
396 417 2 12 0 3
401 424 3 22 0 3
403 431 4 33 0 3
409 445 1 23 1 3
421 450 0 13 1 3
435 444 7 3 1 3
440 432 6 73 1 3
434 418 5 63 1 3
432 416 5 50 1 3
430 414 5 50 1 3
428 412 5 50 1 3
427 411 10 100 0 3
420 406 9 103 0 3
413 404 8 93 0 3
405 405 7 83 0 3
