Map Num: 5
ThreeD: 1
Num states: 45
Path cost: 58
Num A* iters: 214858
Plan Time: 8.4375 s

x y t mp_id mp_type z
120 570 0 -1 1 5
136 570 0 1 1 5
152 570 0 1 1 5
168 570 0 1 1 5
184 570 0 1 1 5
200 570 0 1 1 5
216 570 0 1 1 5
232 570 0 1 1 5
248 570 0 1 1 5
262 564 7 3 1 5
274 552 7 71 1 5
279 540 6 73 1 5
279 524 6 61 1 5
279 508 6 61 1 5
279 492 6 61 1 5
279 476 6 61 1 5
279 460 6 61 1 5
279 444 6 61 1 5
279 428 6 61 1 5
279 412 6 61 1 5
279 396 6 61 1 5
279 380 6 61 1 5
279 364 6 61 1 5
279 348 6 61 1 5
273 334 5 63 1 5
261 322 5 51 1 5
249 310 5 51 1 5
237 298 5 51 1 5
225 286 5 51 1 5
213 274 5 51 1 5
201 262 5 51 1 5
196 250 6 52 1 5
202 236 7 65 1 6
204 234 7 70 1 6
206 232 7 70 1 6
218 227 0 72 1 6
220 227 0 0 1 6
234 221 7 3 1 6
239 209 6 73 1 6
233 195 5 63 1 6
221 190 4 53 1 6
220 190 8 80 0 6
212 191 7 83 0 6
207 195 6 72 0 6
200 200 7 62 0 6
