Map Num: 7
ThreeD: 1
Num states: 26
Path cost: 36
Num A* iters: 494887
Plan Time: 12.0156 s

x y t mp_id mp_type z
205 250 2 -1 1 5
199 264 3 25 1 6
197 266 3 30 1 6
192 278 2 33 1 6
198 292 1 26 1 7
210 304 1 11 1 7
222 316 1 11 1 7
234 328 1 11 1 7
246 333 0 19 1 6
262 333 0 7 1 5
278 333 0 1 1 5
294 333 0 1 1 5
310 333 0 1 1 5
326 333 0 1 1 5
342 333 0 1 1 5
344 333 0 0 1 5
346 333 0 0 1 5
362 333 0 1 1 5
376 339 1 2 1 5
388 351 1 11 1 5
400 363 1 11 1 5
412 375 1 11 1 5
417 387 2 12 1 5
416 395 5 42 0 5
412 400 6 52 0 5
405 405 7 62 0 5
