Map Num: 8
ThreeD: 1
Num states: 44
Path cost: 55
Num A* iters: 4222
Plan Time: 0.328125 s

x y t mp_id mp_type z
140 586 5 -1 1 40
135 574 6 58 1 39
141 560 7 68 1 38
153 555 0 78 1 37
169 555 0 7 1 36
185 555 0 7 1 35
201 555 0 7 1 34
215 561 1 8 1 33
227 566 0 19 1 32
243 566 0 7 1 31
259 566 0 1 1 31
273 560 7 3 1 31
285 548 7 71 1 31
297 536 7 77 1 30
309 524 7 77 1 29
321 512 7 77 1 28
333 500 7 77 1 27
345 488 7 77 1 26
357 476 7 77 1 25
369 464 7 77 1 24
381 452 7 77 1 23
386 440 6 79 1 22
386 424 6 67 1 21
386 408 6 67 1 20
386 392 6 67 1 19
386 376 6 67 1 18
386 360 6 67 1 17
386 344 6 67 1 16
386 328 6 67 1 15
386 312 6 67 1 14
386 296 6 67 1 13
392 282 7 68 1 12
404 270 7 77 1 11
416 258 7 71 1 11
428 246 7 71 1 11
440 234 7 71 1 11
452 222 7 71 1 11
464 210 7 71 1 11
476 205 0 72 1 11
492 205 0 7 1 10
508 205 0 1 1 10
522 199 7 3 1 10
527 192 13 143 0 10
531 187 14 132 0 10
