Map Num: 5
ThreeD: 1
Num states: 34
Path cost: 43
Num A* iters: 101085
Plan Time: 3.42188 s

x y t mp_id mp_type z
160 35 2 -1 1 2
166 49 1 23 1 2
168 51 1 10 1 2
180 63 1 14 1 3
192 75 1 14 1 4
204 87 1 14 1 5
216 92 0 13 1 5
232 92 0 1 1 5
248 92 0 1 1 5
264 92 0 7 1 4
280 92 0 1 1 4
296 92 0 1 1 4
312 92 0 1 1 4
328 92 0 1 1 4
344 92 0 1 1 4
360 92 0 1 1 4
376 92 0 1 1 4
392 92 0 1 1 4
408 92 0 7 1 3
424 92 0 1 1 3
440 92 0 7 1 2
454 98 1 2 1 2
466 110 1 11 1 2
478 122 1 11 1 2
490 134 1 11 1 2
502 146 1 17 1 1
514 158 1 11 1 1
519 170 2 12 1 1
519 186 2 21 1 1
519 202 2 21 1 1
513 216 3 22 1 1
506 221 7 62 0 1
504 222 7 70 0 1
497 224 8 73 0 1
